"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr"
"2008","C04",0.07,0.18,0.13,0.32
"2009","C04",0.08,0.21,0.15,0.34
"2010","C04",0.11,0.26,0.2,0.38
"2011","C04",0.16,0.35,0.23,0.46
"2012","C04",0.21,0.42,0.21,0.45
"2013","C04",0.2,0.41,0.26,0.48
"2014","C04",0.26,0.5,0.32,0.55
"2015","C04",0.24,0.48,0.3,0.55
"2016","C04",0.28,0.46,0.35,0.56
"2017","C04",0.27,0.49,0.32,0.58
"2018","C04",0.3,0.53,0.36,0.61
"2019","C04",0.26,0.49,0.33,0.6
"2020","C04",0.34,0.53,0.41,0.65
"2021","C04",0.3,0.5,0.4,0.64
