"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr"
"2008","C23",0.02,0.24,0.05,0.42
"2009","C23",0.13,0.22,0.27,0.43
"2010","C23",0.12,0.31,0.26,0.37
"2011","C23",0.13,0.39,0.25,0.45
"2012","C23",0.27,0.58,0.35,0.6
"2013","C23",0.21,0.48,0.31,0.49
"2014","C23",0.36,0.61,0.4,0.6
"2015","C23",0.21,0.53,0.2,0.48
"2016","C23",0.28,0.53,0.31,0.57
"2017","C23",0.26,0.52,0.36,0.6
"2018","C23",0.32,0.57,0.31,0.59
"2019","C23",0.28,0.5,0.36,0.64
"2020","C23",0.39,0.62,0.42,0.74
"2021","C23",0.27,0.5,0.33,0.62
