"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr"
"2008","C06",0.13,0.22,0.22,0.34
"2009","C06",0.05,0.2,0.14,0.48
"2010","C06",0.07,0.19,0.13,0.28
"2011","C06",0.08,0.19,0.13,0.26
"2012","C06",0.2,0.38,0.15,0.32
"2013","C06",0.12,0.27,0.16,0.36
"2014","C06",0.23,0.42,0.26,0.43
"2015","C06",0.21,0.39,0.28,0.48
"2016","C06",0.21,0.36,0.31,0.49
"2017","C06",0.17,0.32,0.24,0.43
"2018","C06",0.18,0.36,0.22,0.44
"2019","C06",0.18,0.38,0.24,0.48
"2020","C06",0.28,0.46,0.37,0.63
"2021","C06",0.28,0.49,0.41,0.73
