"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr"
"2008","C08",0.08,0.17,0.18,0.31
"2009","C08",0.11,0.19,0.2,0.27
"2010","C08",0.14,0.28,0.29,0.4
"2011","C08",0.22,0.36,0.28,0.4
"2012","C08",0.24,0.43,0.21,0.44
"2013","C08",0.25,0.42,0.36,0.51
"2014","C08",0.22,0.54,0.28,0.6
"2015","C08",0.27,0.53,0.35,0.65
"2016","C08",0.36,0.56,0.4,0.7
"2017","C08",0.3,0.54,0.31,0.61
"2018","C08",0.29,0.43,0.39,0.57
"2019","C08",0.32,0.61,0.38,0.74
"2020","C08",0.41,0.54,0.5,0.66
"2021","C08",0.36,0.52,0.44,0.56
