"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr"
"2008","C13",0.1,0.19,0.17,0.31
"2009","C13",0.14,0.25,0.32,0.47
"2010","C13",0.08,0.29,0.19,0.54
"2011","C13",0.14,0.34,0.22,0.56
"2012","C13",0.17,0.44,0.22,0.48
"2013","C13",0.19,0.47,0.24,0.48
"2014","C13",0.2,0.48,0.32,0.58
"2015","C13",0.22,0.52,0.33,0.67
"2016","C13",0.23,0.44,0.23,0.5
"2017","C13",0.29,0.5,0.32,0.47
"2018","C13",0.33,0.52,0.36,0.6
"2019","C13",0.24,0.44,0.25,0.5
"2020","C13",0.34,0.49,0.42,0.6
"2021","C13",0.27,0.5,0.33,0.6
