"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr"
"2008","C17",0.07,0.25,0.12,0.37
"2009","C17",0.07,0.21,0.14,0.36
"2010","C17",0.12,0.26,0.22,0.4
"2011","C17",0.17,0.4,0.19,0.44
"2012","C17",0.2,0.43,0.19,0.48
"2013","C17",0.17,0.42,0.25,0.48
"2014","C17",0.28,0.53,0.38,0.63
"2015","C17",0.2,0.41,0.28,0.45
"2016","C17",0.25,0.44,0.4,0.62
"2017","C17",0.28,0.49,0.33,0.65
"2018","C17",0.31,0.55,0.39,0.61
"2019","C17",0.22,0.49,0.27,0.61
"2020","C17",0.32,0.51,0.44,0.74
"2021","C17",0.38,0.56,0.47,0.67
