"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr"
"2008","C11",0,0,NA,NA
"2009","C11",0,0.5,0,1
"2010","C11",0.33,0.67,0,1
"2011","C11",0,0.5,0,1
"2012","C11",0.5,0.75,1,1
"2013","C11",0,0.67,NA,NA
"2014","C11",0.14,0.43,0,0
"2015","C11",0.14,0.57,0,0
"2016","C11",0.64,0.91,0.86,0.86
"2017","C11",0.25,0.5,0.5,1
"2018","C11",0.25,0.75,0,1
"2019","C11",0.25,0.5,0,0
"2020","C11",0.17,0.33,0,0.5
"2021","C11",0.2,0.4,0.33,0.67
