"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr"
"2008","C07",0,0.11,0,0
"2009","C07",0.09,0.27,0,0.33
"2010","C07",0.08,0.25,0,0
"2011","C07",0.13,0.27,1,1
"2012","C07",0,0.4,0,0.75
"2013","C07",0,0.3,NA,NA
"2014","C07",0.19,0.48,0.17,0.17
"2015","C07",0.18,0.47,0,0.4
"2016","C07",0.27,0.5,0.5,0.83
"2017","C07",0.12,0.23,0.4,0.6
"2018","C07",0.17,0.44,0,0.33
"2019","C07",0.05,0.25,0,0.33
"2020","C07",0.35,0.39,0.5,0.5
"2021","C07",0.24,0.41,0.33,0.83
