"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr"
"2008","C19",0.02,0.07,0.05,0.1
"2009","C19",0.08,0.22,0.24,0.4
"2010","C19",0.07,0.31,0.15,0.48
"2011","C19",0.07,0.28,0.07,0.48
"2012","C19",0.22,0.43,0.28,0.36
"2013","C19",0.13,0.43,0.19,0.52
"2014","C19",0.23,0.49,0.25,0.5
"2015","C19",0.21,0.48,0.32,0.61
"2016","C19",0.27,0.46,0.33,0.5
"2017","C19",0.28,0.47,0.35,0.58
"2018","C19",0.24,0.43,0.32,0.4
"2019","C19",0.26,0.42,0.33,0.5
"2020","C19",0.4,0.52,0.55,0.61
"2021","C19",0.27,0.5,0.37,0.67
