"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr"
"2008","C05",0,0.36,0,0.56
"2009","C05",0.12,0.12,0.17,0.17
"2010","C05",0.27,0.36,0.4,0.6
"2011","C05",0.33,0.5,0.5,1
"2012","C05",0.23,0.69,0.33,0.89
"2013","C05",0.17,0.33,0,1
"2014","C05",0.33,0.67,0.2,0.4
"2015","C05",0.71,0.86,0.67,0.67
"2016","C05",0.33,0.42,0.67,0.83
"2017","C05",0.07,0.21,0.14,0.43
"2018","C05",0.5,0.81,0.56,0.89
"2019","C05",0.31,0.46,0.5,0.67
"2020","C05",0.15,0.62,0.2,0.6
"2021","C05",0.25,0.5,0.57,1
