"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
"2008","C08",0.08,0.17,0.18,0.31,0.18,0.29,0,1,0.29,0.46,0,0.08
"2009","C08",0.11,0.19,0.2,0.27,0.2,0.26,0,0.5,0.33,0.42,0,0.06
"2010","C08",0.14,0.28,0.29,0.4,0.26,0.38,0.5,0.5,0.5,0.75,0.05,0.05
"2011","C08",0.22,0.36,0.28,0.4,0.29,0.42,0,0,0.58,0.83,0,0
"2012","C08",0.24,0.43,0.21,0.44,0.23,0.44,0,0.5,0.39,0.76,0,0.08
"2013","C08",0.25,0.42,0.36,0.51,0.41,0.59,0,0,0.58,0.83,0,0
"2014","C08",0.22,0.54,0.28,0.6,0.29,0.62,0,0,0.5,1.09,0,0
"2015","C08",0.27,0.53,0.35,0.65,0.33,0.67,0.6,0.6,0.43,0.89,0.19,0.19
"2016","C08",0.36,0.56,0.4,0.7,0.42,0.72,0.25,0.5,0.5,0.87,0.11,0.22
"2017","C08",0.3,0.54,0.31,0.61,0.31,0.61,0.33,0.67,0.5,0.97,0.05,0.1
"2018","C08",0.29,0.43,0.39,0.57,0.4,0.6,0.5,0.5,0.91,1.36,0.06,0.06
"2019","C08",0.32,0.61,0.38,0.74,0.41,0.73,0.5,0.5,0.52,0.93,0.08,0.08
"2020","C08",0.41,0.54,0.5,0.66,0.47,0.66,0.67,0.67,0.69,0.96,0.27,0.27
"2021","C08",0.36,0.52,0.44,0.56,0.45,0.57,0.38,0.5,0.73,0.93,0.12,0.16
