"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
"2008","C23",0.02,0.24,0.05,0.42,0.03,0.36,0.25,1,0.04,0.48,0.11,0.44
"2009","C23",0.13,0.22,0.27,0.43,0.18,0.38,0.6,0.6,0.35,0.75,0.32,0.32
"2010","C23",0.12,0.31,0.26,0.37,0.17,0.33,0.38,0.38,0.23,0.46,0.27,0.27
"2011","C23",0.13,0.39,0.25,0.45,0.24,0.45,0.29,0.43,0.31,0.58,0.25,0.38
"2012","C23",0.27,0.58,0.35,0.6,0.35,0.6,0.33,0.67,0.65,1.12,0.06,0.11
"2013","C23",0.21,0.48,0.31,0.49,0.33,0.51,0.17,0.33,0.39,0.61,0.1,0.2
"2014","C23",0.36,0.61,0.4,0.6,0.39,0.61,0.67,0.67,0.59,0.9,0.11,0.11
"2015","C23",0.21,0.53,0.2,0.48,0.23,0.49,0,0.5,0.32,0.68,0,0.17
"2016","C23",0.28,0.53,0.31,0.57,0.3,0.57,0.38,0.62,0.44,0.81,0.16,0.26
"2017","C23",0.26,0.52,0.36,0.6,0.38,0.6,0.17,0.5,0.63,1,0.04,0.13
"2018","C23",0.32,0.57,0.31,0.59,0.3,0.57,0.43,0.71,0.5,0.96,0.12,0.2
"2019","C23",0.28,0.5,0.36,0.64,0.34,0.66,0.5,0.5,0.44,0.84,0.2,0.2
"2020","C23",0.39,0.62,0.42,0.74,0.42,0.72,0.4,1,0.55,0.93,0.12,0.29
"2021","C23",0.27,0.5,0.33,0.62,0.31,0.58,0.5,0.83,0.4,0.74,0.19,0.31
