"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
"2008","C14",0.02,0.12,0.1,0.5,0.1,0.5,NA,NA,0.14,0.71,0,0
"2009","C14",0.06,0.23,0.11,0.32,0.13,0.4,0,0,0.22,0.67,0,0
"2010","C14",0.17,0.29,0.25,0.44,0.21,0.43,0,0,0.5,1,0,0
"2011","C14",0.16,0.32,0.33,0.58,0.27,0.55,1,1,0.6,1.2,0.25,0.25
"2012","C14",0.28,0.53,0.25,0.55,0.22,0.56,0.5,0.5,0.33,0.83,0.17,0.17
"2013","C14",0.18,0.45,0.28,0.66,0.3,0.7,0,0,0.4,0.95,0,0
"2014","C14",0.36,0.66,0.44,0.75,0.47,0.73,0,1,0.54,0.85,0,0.33
"2015","C14",0.21,0.55,0.17,0.39,0.17,0.39,NA,NA,0.36,0.82,0,0
"2016","C14",0.47,0.58,0.47,0.56,0.41,0.5,1,1,0.57,0.7,0.27,0.27
"2017","C14",0.33,0.61,0.33,0.71,0.39,0.67,0,1,0.41,0.71,0,0.75
"2018","C14",0.32,0.68,0.35,0.7,0.35,0.7,NA,NA,0.5,1,0,0
"2019","C14",0.53,0.76,0.76,0.86,0.8,0.9,0,0,0.84,0.95,0,0
"2020","C14",0.35,0.61,0.37,0.53,0.39,0.5,0,1,0.78,1,0,0.1
"2021","C14",0.4,0.69,0.54,0.75,0.57,0.78,0,0,0.87,1.2,0,0
