"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
2010,"C06",0.07,0.19,0.13,0.28,0.14,0.27,0.14,0.43,0.32,0.64,0.03,0.08
2011,"C06",0.08,0.19,0.13,0.26,0.15,0.25,0,0.4,0.23,0.39,0,0.09
2012,"C06",0.2,0.38,0.15,0.32,0.17,0.34,0,0.25,0.36,0.73,0,0.03
2013,"C06",0.12,0.27,0.16,0.36,0.18,0.37,0,0.25,0.4,0.84,0,0.03
2014,"C06",0.23,0.42,0.26,0.43,0.24,0.42,0.3,0.4,0.46,0.81,0.09,0.12
2015,"C06",0.21,0.39,0.28,0.48,0.32,0.52,0.11,0.22,0.44,0.71,0.04,0.09
2016,"C06",0.21,0.36,0.31,0.49,0.31,0.5,0,0.2,0.64,1.04,0,0.03
2017,"C06",0.17,0.32,0.24,0.43,0.23,0.42,0,0.5,0.38,0.69,0,0.05
2018,"C06",0.18,0.36,0.22,0.44,0.24,0.46,0,0.33,0.52,1,0,0.04
2019,"C06",0.18,0.38,0.24,0.48,0.22,0.47,0.37,0.5,0.41,0.9,0.09,0.12
2020,"C06",0.28,0.46,0.37,0.63,0.33,0.59,0.67,1,0.57,1,0.15,0.23
2021,"C06",0.28,0.49,0.41,0.73,0.44,0.71,0.3,0.8,0.78,1.26,0.11,0.3
2008,"C07",0,0.11,0,0,0,0,NA,NA,0,0,0,0
2009,"C07",0.09,0.27,0,0.33,0,0.33,NA,NA,NA,Inf,0,0
2010,"C07",0.08,0.25,0,0,0,0,NA,NA,NA,NA,0,0
2011,"C07",0.13,0.27,1,1,1,1,NA,NA,Inf,Inf,0,0
2012,"C07",0,0.4,0,0.75,0,0.75,NA,NA,NA,Inf,0,0
2013,"C07",0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"C07",0.19,0.48,0.17,0.17,0.17,0.17,NA,NA,1,1,0,0
2015,"C07",0.18,0.47,0,0.4,0,0.4,NA,NA,0,1,0,0
2016,"C07",0.27,0.5,0.5,0.83,0.5,0.83,NA,NA,0.75,1.25,NA,NA
2017,"C07",0.12,0.23,0.4,0.6,0.5,0.75,0,0,0.67,1,0,0
2018,"C07",0.17,0.44,0,0.33,0,0.5,NA,NA,0,1,0,0
2019,"C07",0.05,0.25,0,0.33,0,0.33,NA,NA,0,0.33,NA,NA
2020,"C07",0.35,0.39,0.5,0.5,0.33,0.33,1,1,0.5,0.5,0.5,0.5
2021,"C07",0.24,0.41,0.33,0.83,0.33,0.83,NA,NA,0.67,1.67,0,0
2008,"C08",0.08,0.17,0.18,0.31,0.18,0.29,0,1,0.29,0.46,0,0.08
2009,"C08",0.11,0.19,0.2,0.27,0.2,0.26,0,0.5,0.33,0.42,0,0.06
2010,"C08",0.14,0.28,0.29,0.4,0.26,0.38,0.5,0.5,0.5,0.75,0.05,0.05
2011,"C08",0.22,0.36,0.28,0.4,0.29,0.42,0,0,0.58,0.83,0,0
2012,"C08",0.24,0.43,0.21,0.44,0.23,0.44,0,0.5,0.39,0.76,0,0.08
2013,"C08",0.25,0.42,0.36,0.51,0.41,0.59,0,0,0.58,0.83,0,0
