"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
"2008","C10",0,0.08,0,0.29,0,0.2,0,0.5,0,0.25,0,0.33
"2009","C10",0.03,0.16,0.11,0.22,0.11,0.22,NA,NA,0.2,0.4,0,0
"2010","C10",0.05,0.29,0,0,0,0,0,0,0,0,0,0
"2011","C10",0.06,0.25,0,0.5,0,0.5,NA,NA,0,1,0,0
"2012","C10",0.24,0.39,0.5,0.8,0.56,0.89,NA,NA,0.83,1.33,0,0
"2013","C10",0.14,0.41,0.18,0.45,0.18,0.45,NA,NA,0.25,0.62,0,0
"2014","C10",0.13,0.44,0.31,0.62,0.33,0.67,0,0,0.44,0.89,0,0
"2015","C10",0.37,0.53,0.4,0.6,0.33,0.56,1,1,0.43,0.71,0.5,0.5
"2016","C10",0.35,0.63,0.47,0.6,0.58,0.67,0,0.33,0.78,0.89,0,0.17
"2017","C10",0.27,0.41,0.47,0.65,0.53,0.73,0,0,0.67,0.92,0,0
"2018","C10",0.34,0.51,0.33,0.67,0.38,0.69,0,0.5,0.56,1,0,0.17
"2019","C10",0.36,0.49,0.53,0.76,0.53,0.8,0.5,0.5,0.53,0.8,0.5,0.5
"2020","C10",0.48,0.7,0.47,0.76,0.5,0.75,0,1,0.62,0.92,0,0.25
"2021","C10",0.35,0.55,0.5,0.75,0.44,0.75,0.75,0.75,0.44,0.75,0.75,0.75
