"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
"2008","C18",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009","C18",0.25,0.25,0.33,0.33,0.5,0.5,0,0,1,1,0,0
"2010","C18",0.25,0.5,0.5,1,0.5,1,NA,NA,Inf,Inf,0,0
"2011","C18",0.25,0.75,0,1,0,1,NA,NA,0,1,NA,NA
"2012","C18",0.3,0.5,0.25,0.25,0.25,0.25,NA,NA,0.5,0.5,0,0
"2013","C18",0.27,0.36,0.33,0.67,0.33,0.67,NA,NA,0.5,1,0,0
"2014","C18",0.17,0.83,0,0.8,0,0.8,NA,NA,0,0.8,NA,NA
"2015","C18",0.33,1,0,1,0,1,NA,NA,0,1.25,NA,NA
"2016","C18",0.1,0.2,0.5,0.5,0,0,1,1,0,0,Inf,Inf
"2017","C18",0,0.14,0,1,NA,NA,0,1,0,0,NA,Inf
"2018","C18",0.25,0.5,1,1,1,1,1,1,0.67,0.67,Inf,Inf
"2019","C18",0.19,0.5,0.6,0.8,0.6,0.8,NA,NA,1,1.33,0,0
"2020","C18",0.2,0.47,0.25,0.25,0.25,0.25,NA,NA,1,1,0,0
"2021","C18",0.22,0.56,0.67,1,0.5,1,1,1,0.33,0.67,Inf,Inf
