"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
"2008","C12",0.07,0.15,0.12,0.24,0.12,0.25,0,0,0.19,0.39,0,0
"2009","C12",0.13,0.24,0.24,0.37,0.25,0.37,0.2,0.4,0.33,0.5,0.07,0.13
"2010","C12",0.11,0.32,0.26,0.55,0.25,0.55,0.5,0.5,0.37,0.81,0.08,0.08
"2011","C12",0.19,0.45,0.29,0.6,0.31,0.6,0,0.67,0.39,0.76,0,0.18
"2012","C12",0.22,0.45,0.24,0.46,0.25,0.46,0.14,0.43,0.37,0.7,0.04,0.12
"2013","C12",0.23,0.52,0.27,0.56,0.27,0.59,0.25,0.25,0.38,0.81,0.06,0.06
"2014","C12",0.27,0.52,0.32,0.54,0.3,0.5,0.5,0.83,0.43,0.71,0.16,0.26
"2015","C12",0.27,0.58,0.34,0.69,0.33,0.65,0.4,1,0.39,0.78,0.14,0.36
"2016","C12",0.26,0.48,0.26,0.51,0.26,0.48,0.29,0.71,0.41,0.76,0.1,0.24
"2017","C12",0.25,0.54,0.27,0.5,0.29,0.51,0.11,0.44,0.37,0.63,0.06,0.24
"2018","C12",0.42,0.64,0.44,0.68,0.43,0.7,0.5,0.5,0.64,1.04,0.13,0.13
"2019","C12",0.3,0.46,0.3,0.49,0.29,0.51,0.38,0.38,0.42,0.74,0.15,0.15
"2020","C12",0.41,0.57,0.46,0.63,0.49,0.62,0.5,0.75,0.73,0.93,0.1,0.14
"2021","C12",0.28,0.49,0.32,0.55,0.31,0.56,0.35,0.53,0.38,0.67,0.26,0.39
