"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
"2008","C02",0.1,0.2,0.33,0.67,NA,NA,0.33,0.67,NA,NA,1,2
"2009","C02",0.42,0.63,0.62,0.85,0,1,0.73,0.82,0,0.5,8,9
"2010","C02",0.08,0.42,0,0,0,0,NA,NA,NA,NA,0,0
"2011","C02",0,0.38,0,0,NA,NA,0,0,0,0,NA,NA
"2012","C02",0.25,0.25,0.25,0.25,0.33,0.33,0,0,0.5,0.5,0,0
"2013","C02",0.19,0.38,0.2,0.4,0,0,0.5,1,0,0,0.5,1
"2014","C02",0.33,0.6,0.4,0.4,0.5,0.5,0.33,0.33,0.33,0.33,1,1
"2015","C02",0.19,0.54,0.25,0.33,0.29,0.29,0.2,0.4,0.4,0.4,0.25,0.5
"2016","C02",0.29,0.5,0.3,0.6,0.14,0.43,0.67,1,0.14,0.43,2,3
"2017","C02",0.21,0.36,0.33,0.5,0,0,0.5,0.75,0,0,2,3
"2018","C02",0.28,0.61,0.2,0.5,0,0.29,0.67,1,0,0.4,0.4,0.6
"2019","C02",0.25,0.81,0.8,1,0.75,1,1,1,0.75,1,1,1
"2020","C02",0.5,0.7,0.5,1,0,1,1,1,0,0.5,Inf,Inf
"2021","C02",0.09,0.32,0,0.25,NA,NA,0,0.25,0,0,0,1
